,game_name,song_name,is_4/4,time_signature_count,valid_tracks,unique_valid_tracks
232,Batman Returns,BatmanReturnsPreludetoLevel7.mid,True,1,9,5
233,Batman Returns,BatmanReturnsSceneClear.mid,True,1,6,4
234,Battle Clash,IvanBatt.mid,True,1,0,0
235,Battle Clash,LorcaBatt.mid,True,1,1,1
236,Battle Clash,ValiusBatt.mid,True,1,0,0
237,Battle Soccer 2,Melto_BattleSoccer2.mid,True,0,0,0
238,Battletoads and Double Dragon,BDDStage1GM.mid,True,0,2,2
239,Battletoads and Double Dragon,bt-dd_lvl1_v2.mid,True,0,2,2
240,Battletoads and Double Dragon,battle_toads__double_dragon_-_level_1.mid,True,0,3,2
241,Battletoads and Double Dragon,Tromocide2.mid,True,0,2,2
242,Battletoads and Double Dragon,BDDStage1XGv1_1.mid,True,0,3,2
243,Battletoads and Double Dragon,btddlev2.mid,True,0,7,4
244,Battletoads and Double Dragon,BTDD_-_Level_2.mid,True,0,2,2
245,Battletoads and Double Dragon,btddlev3.mid,True,0,4,4
246,Battletoads and Double Dragon,Level_3_2.mid,True,1,1,1
247,Battletoads and Double Dragon,BTDD-Stage3.mid,True,0,5,3
248,Battletoads and Double Dragon,btddlev4.mid,True,0,4,3
249,Battletoads and Double Dragon,Level_4_2.mid,True,1,0,0
250,Battletoads and Double Dragon,battle_toads__double_dragon_-_level_4.mid,True,0,9,4
251,Battletoads and Double Dragon,Level5.mid,True,1,6,4
252,Battletoads and Double Dragon,BTDD-Level5.mid,True,0,4,3
253,Battletoads and Double Dragon,bttddlev6.mid,True,0,5,3
254,Battletoads and Double Dragon,BTDD-Level6.mid,True,0,3,3
255,Battletoads and Double Dragon,shadow.mid,True,1,5,3
256,Battletoads and Double Dragon,BTDD-Level7.mid,True,0,2,2
257,Battletoads and Double Dragon,Btddlevcomplete.mid,True,0,4,2
258,Battletoads and Double Dragon,BTDD-LevelComplete.mid,True,0,2,2
259,Battletoads and Double Dragon,btdd_nextlevel.mid,True,0,3,2
260,Battletoads and Double Dragon,BTDD-LevelIntro.mid,True,0,2,2
261,Battletoads and Double Dragon,BTDD_Title_Screen.mid,True,1,1,1
262,Battletoads in Battlemaniacs,JDC_BMBonus1-1.mid,True,0,9,4
263,Battletoads in Battlemaniacs,btbm-bonus1.mid,True,0,5,4
264,Battletoads in Battlemaniacs,btbm-bonus2.mid,True,0,3,2
265,Battletoads in Battlemaniacs,btbm-cont.mid,True,0,3,3
266,Battletoads in Battlemaniacs,darkqueen.mid,True,0,3,3
267,Battletoads in Battlemaniacs,BIB-level1.mid,False,2,3,3
268,Battletoads in Battlemaniacs,btbm-stage2.mid,True,0,2,2
269,Battletoads in Battlemaniacs,btbm-stage5.mid,True,0,2,2
270,Battletoads in Battlemaniacs,btbm-stage6.mid,True,0,4,4
271,Battletoads in Battlemaniacs,bt-pause.mid,True,1,2,1
272,Battletoads in Battlemaniacs,bt-theme.mid,True,1,3,2
273,Battletoads in Battlemaniacs,bt-turbo.mid,True,1,3,2
274,Battletoads in Battlemaniacs,turbotunnel.mid,True,1,3,3
275,Battletoads in Battlemaniacs,btbm-victory.mid,True,0,2,2
276,Beavis And Butthead,beavis_butthead_bg5.mid,True,1,2,2
277,Beavis And Butthead,Beavbutt.mid,True,1,3,2
278,Beavis And Butthead,Title_Screen546.mid,True,0,2,2
279,Benkei Gaiden (Japan),_struggle.mid,True,1,4,3
280,Biker Mice from Mars,biker_mice_from_mars.mid,True,1,3,3
281,Bio Metal (Japan),BioMetal-Boss1.mid,True,1,3,2
282,Bio Metal (Japan),Bio_Metal_Japanese_Ver-Boss2.mid,True,1,4,3
283,Bio Metal (Japan),Bio_Metal_Japanese_Ver-Continue.mid,True,1,3,3
284,Bio Metal (Japan),Bio_Metal_Japanese_Ver-GameOver.mid,True,1,3,2
285,Bio Metal (Japan),G_BioMetal_Intro.mid,True,0,10,4
286,Bio Metal (Japan),Bio_Metal_Japanese_Ver-Introduction_pt1.mid,True,1,5,4
287,Bio Metal (Japan),Bio_Metal_Japanese_Ver-Introduction_pt2.mid,True,1,5,3
288,Bio Metal (Japan),BioMetal-Options.mid,True,1,2,2
289,Bio Metal (Japan),bio_metal_JPN_St1.mid,True,1,1,1
290,Bio Metal (Japan),Bio_Metal-Stage_2.mid,True,1,3,3
291,Bio Metal (Japan),Bio_Metal_Japanese_Ver-Satge4BGM.mid,True,1,3,3
292,Bio Metal (Japan),Bio_Metal-Stage_5.mid,True,1,5,4
293,Bio Metal (Japan),Bio_Metal_Japanese_Ver-Stage7BGM.mid,True,1,3,3
294,Blackthorne,sarlac.mid,True,0,5,4
295,Blazeon,blazeon_-_stage_1.mid,False,18,1,1
296,Bonkers,bonkerstage4.mid,True,0,4,3
297,Bounty Sword (Japan),bs_furis.mid,False,6,3,2
298,Brainlord,blarcs.mid,True,0,3,3
299,Brainlord,bldroog.mid,True,0,3,3
300,Brainlord,blplatinum.mid,True,0,2,2
301,Brainlord,blsite.mid,True,0,3,3
302,Brainlord,bltower.mid,True,0,1,1
303,Bram Stoker's Dracula,Dracula31.mid,False,1,0,0
304,Brawl Brothers,rb2-boss.mid,True,0,4,3
305,Brawl Brothers,BrawlSewers.mid,True,1,8,3
306,Brawl Brothers,BrawlLevel2.mid,True,1,11,3
307,BreakThru!,Berlin.mid,True,1,3,2
308,BreakThru!,LVcomplete.mid,True,1,12,4
309,Breath of Fire,bofballa.mid,True,1,3,1
310,Breath of Fire,BoF-_Sad_Melody.mid,True,1,2,1
311,Breath of Fire,AandCForever_%28Ballad%29_V1-1.mid,True,1,2,1
312,Breath of Fire,Sara_Rules%21.mid,True,1,4,1
313,Breath of Fire,Alan.mid,True,1,2,1
314,Breath of Fire,BOFARAD.mid,True,1,2,2
315,Breath of Fire,BOFAURIA.mid,False,1,3,2
316,Breath of Fire,bofbattle.mid,True,1,7,4
317,Breath of Fire,BoF-_Battle_Theme_A.mid,True,1,1,1
318,Breath of Fire,bofboss.mid,True,1,7,4
319,Breath of Fire,Breath_of_Fire_-_Final_Battle.mid,True,1,8,2
320,Breath of Fire,bof_boss.mid,True,0,7,5
321,Breath of Fire,BoF-_Castle_Theme.mid,True,1,8,3
322,Breath of Fire,bof_cave%281%29.mid,True,1,4,4
323,Breath of Fire,bof1-25.mid,True,1,5,4
324,Breath of Fire,BOFJoin.mid,True,1,8,4
325,Breath of Fire,BOFDROGN.mid,True,1,4,3
326,Breath of Fire,BL_bof_gobi.mid,False,5,6,4
